position,birth_year,height,peak_tier,peak_matches,best_league_info,player_link,scraped_at_utc
Striker,1972.0,1.80m,5,303,"('Kyrgyzstan', 'I')",https://national-football-teams.com/player/3656/Zamirbek_Jumagulov.html,2026-04-25T11:51:00+00:00
Striker,1976.0,1.77m,5,270,"('Kyrgyzstan', 'I')",https://national-football-teams.com/player/3659/Vyacheslav_Pryanishnikov.html,2026-04-25T11:51:00+00:00
Defender,1976.0,1.80m,5,235,"('Kyrgyzstan', 'I')",https://national-football-teams.com/player/3663/Vyacheslav_Amin.html,2026-04-25T11:51:00+00:00
Defender,1974.0,1.75m,5,209,"('Kyrgyzstan', 'I')",https://national-football-teams.com/player/3664/Vladimir_Salo.html,2026-04-25T11:51:00+00:00
Goalkeeper,1972.0,1.87m,5,223,"('Kyrgyzstan', 'I')",https://national-football-teams.com/player/3667/Zakir_Jalilov.html,2026-04-25T11:51:00+00:00
Midfielder,1975.0,,5,196,"('Kyrgyzstan', 'I')",https://national-football-teams.com/player/8550/Kanat_Sardarov.html,2026-04-25T11:51:01+00:00
Midfielder,1979.0,,5,134,"('Kyrgyzstan', 'I')",https://national-football-teams.com/player/12524/Atabek_Berdaly_Uulu.html,2026-04-25T11:51:01+00:00
Midfielder,1977.0,1.68m,5,166,"('Kyrgyzstan', 'I')",https://national-football-teams.com/player/12543/Dmitriy_Krokhmal.html,2026-04-25T11:51:01+00:00
Midfielder,1973.0,,5,206,"('Kyrgyzstan', 'I')",https://national-football-teams.com/player/12544/Islam_Kurmanbayev.html,2026-04-25T11:51:01+00:00
Centre Forward,1975.0,,5,189,"('Kyrgyzstan', 'I')",https://national-football-teams.com/player/12552/Nurlan_Rajabaliev.html,2026-04-25T11:51:01+00:00
Defender,1973.0,1.86m,5,266,"('Kyrgyzstan', 'I')",https://national-football-teams.com/player/17641/Murat_Jumakeyev.html,2026-04-25T11:51:03+00:00
Centre Forward,1981.0,,5,128,"('Kyrgyzstan', 'I')",https://national-football-teams.com/player/3679/Roman_Kornilov.html,2026-04-25T11:51:03+00:00
Striker,1977.0,,5,157,"('Kyrgyzstan', 'I')",https://national-football-teams.com/player/12546/Maratbek_Mamanov.html,2026-04-25T11:51:03+00:00
Attacking Midfielder,1967.0,1.78m,5,120,"('Kyrgyzstan', 'I')",https://national-football-teams.com/player/12520/Nazim_Ajiev.html,2026-04-25T11:51:03+00:00
Striker,1980.0,,6,0,,https://national-football-teams.com/player/2/Raza_Razai.html,2026-04-25T11:51:03+00:00
Striker,1980.0,,6,0,,https://national-football-teams.com/player/3/Sayed_Tahir_Shah_Mosawe.html,2026-04-25T11:51:03+00:00
Defender,1984.0,1.79m,6,22,"('Germany', 'IV')",https://national-football-teams.com/player/6/Najib_Naderi.html,2026-04-25T11:51:03+00:00
Midfielder,1975.0,,6,130,"('Germany', 'V')",https://national-football-teams.com/player/7/Omar_Nazar.html,2026-04-25T11:51:04+00:00
Defender,1977.0,,6,0,,https://national-football-teams.com/player/8/Ahmed_Zia_Azimi.html,2026-04-25T11:51:04+00:00
Goalkeeper,1981.0,,6,0,,https://national-football-teams.com/player/9/Abdul_Salem_Jamshid.html,2026-04-25T11:51:04+00:00
Defender,1981.0,,6,0,,https://national-football-teams.com/player/15/Bashir_Ahmad_Saadat.html,2026-04-25T11:51:05+00:00
Midfielder,1979.0,,6,0,,https://national-football-teams.com/player/22/Najiballah_Zarimi.html,2026-04-25T11:51:05+00:00
Defender,1980.0,,6,0,,https://national-football-teams.com/player/23/Qais_Khedri.html,2026-04-25T11:51:05+00:00
Defender,1972.0,,6,0,,https://national-football-teams.com/player/24/Ahmad_Rahil_Fourmoli.html,2026-04-25T11:51:05+00:00
Left Midfielder,,,6,0,,https://national-football-teams.com/player/70172/Enaltat.html,2026-04-25T11:51:05+00:00
Centre Midfielder,1988.0,,6,0,,https://national-football-teams.com/player/13/Farid_Ahmadi.html,2026-04-25T11:51:05+00:00
Midfielder,1980.0,,5,11,"('Nepal', 'I')",https://national-football-teams.com/player/4600/Nirajan_Rayamajhi.html,2026-04-25T11:51:05+00:00
Striker,1976.0,1.71m,5,11,"('Nepal', 'I')",https://national-football-teams.com/player/4603/Hari_Khadka.html,2026-04-25T11:51:06+00:00
Striker,1977.0,1.71m,5,10,"('Nepal', 'I')",https://national-football-teams.com/player/4604/Basanta_Thapa.html,2026-04-25T11:51:06+00:00
Defender,1981.0,1.68m,5,10,"('Nepal', 'I')",https://national-football-teams.com/player/4606/Narayan_Manandhar.html,2026-04-25T11:51:06+00:00
Defender,1977.0,1.73m,6,0,,https://national-football-teams.com/player/4611/Rakesh_Shrestha.html,2026-04-25T11:51:07+00:00
Goalkeeper,1973.0,1.75m,6,0,,https://national-football-teams.com/player/4615/Upendra_Man_Singh.html,2026-04-25T11:51:07+00:00
Midfielder,1977.0,1.71m,6,0,,https://national-football-teams.com/player/4618/Sunil_Tuladhar.html,2026-04-25T11:51:07+00:00
Midfielder,1975.0,1.65m,6,0,,https://national-football-teams.com/player/4619/Bal_Gopal_Maharjan.html,2026-04-25T11:51:07+00:00
Midfielder,1977.0,1.80m,5,11,"('Nepal', 'I')",https://national-football-teams.com/player/4620/Ananta_Raj_Thapa.html,2026-04-25T11:51:07+00:00
Midfielder,1983.0,1.71m,5,11,"('Nepal', 'I')",https://national-football-teams.com/player/4621/Deepak_Lama.html,2026-04-25T11:51:07+00:00
Midfielder,1981.0,1.66m,5,10,"('Nepal', 'I')",https://national-football-teams.com/player/4624/Kumar_Thapa.html,2026-04-25T11:51:08+00:00
Defender,1977.0,,6,0,,https://national-football-teams.com/player/39484/Narottam_Gautam.html,2026-04-25T11:51:08+00:00
Right Winger,1980.0,,5,10,"('Nepal', 'I')",https://national-football-teams.com/player/4605/Rajan_Rayamajhi.html,2026-04-25T11:51:08+00:00
Centre Forward,1983.0,1.70m,5,98,"('India', 'I')",https://national-football-teams.com/player/3093/Ashim_Biswas.html,2026-04-25T11:51:08+00:00
Left Back,1979.0,1.77m,5,30,"('India', 'I')",https://national-football-teams.com/player/3097/Samir_Subash_Naik.html,2026-04-25T11:51:10+00:00
Defender,1978.0,,6,0,,https://national-football-teams.com/player/3098/Muttath_Suresh.html,2026-04-25T11:51:10+00:00
Defender,1974.0,,5,98,"('India', 'I')",https://national-football-teams.com/player/3103/Debjit_Ghosh.html,2026-04-25T11:51:10+00:00
Defender,1971.0,,6,0,,https://national-football-teams.com/player/3106/Roberto_Fernandes.html,2026-04-25T11:51:10+00:00
Goalkeeper,1980.0,,5,17,"('India', 'I')",https://national-football-teams.com/player/3111/Naseem_Akhtar.html,2026-04-25T11:51:10+00:00
Midfielder,1976.0,1.81m,5,45,"('India', 'I')",https://national-football-teams.com/player/3119/Jo_Paul_Ancheri.html,2026-04-25T11:51:10+00:00
Attacking Midfielder,1977.0,1.77m,5,124,"('India', 'I')",https://national-football-teams.com/player/3122/Shanmugham_Venkatesh.html,2026-04-25T11:51:10+00:00
Left Midfielder,1979.0,1.78m,5,138,"('India', 'I')",https://national-football-teams.com/player/3123/Renedy_Singh.html,2026-04-25T11:51:10+00:00
Centre Midfielder,1979.0,1.78m,5,140,"('India', 'I')",https://national-football-teams.com/player/3127/Climax_Lawrence.html,2026-04-25T11:51:10+00:00
Striker,1969.0,1.81m,5,48,"('India', 'I')",https://national-football-teams.com/player/13819/Invalappil_Mani_Vijayan.html,2026-04-25T11:51:11+00:00
Centre Forward,1980.0,1.88m,5,83,"('India', 'I')",https://national-football-teams.com/player/3091/Abhishek_Yadav.html,2026-04-25T11:51:12+00:00
Midfielder,1976.0,,6,0,,https://national-football-teams.com/player/3129/Abhay_Kumar.html,2026-04-25T11:51:12+00:00
Left Winger,1978.0,1.73m,5,130,"('India', 'I')",https://national-football-teams.com/player/3115/Alvito_D_Cunha.html,2026-04-25T11:51:12+00:00
Attacking Midfielder,1979.0,1.73m,6,36,"('Germany', 'V')",https://national-football-teams.com/player/1/Obaidullah_Karimi.html,2026-04-25T11:51:12+00:00
Striker,1980.0,,6,0,,https://national-football-teams.com/player/4/Basir_Kamrani.html,2026-04-25T11:51:12+00:00
Striker,1982.0,,6,120,"('Germany', 'V')",https://national-football-teams.com/player/11/David_Yaqoubi.html,2026-04-25T11:51:13+00:00
Midfielder,1983.0,1.80m,6,63,"('Germany', 'V')",https://national-football-teams.com/player/14/Ahmad_Nasir_Safi.html,2026-04-25T11:51:13+00:00
Defender,1980.0,,6,0,,https://national-football-teams.com/player/19/Aziz_Rohallah.html,2026-04-25T11:51:13+00:00
Centre Forward,1980.0,1.75m,5,16,"('India', 'I')",https://national-football-teams.com/player/6257/Kasun_Nadika_Jayasuriya.html,2026-04-25T11:51:13+00:00
Defender,1979.0,,6,0,,https://national-football-teams.com/player/6261/Nalin_Nandana_Kumara.html,2026-04-25T11:51:13+00:00
Defender,1979.0,,6,0,,https://national-football-teams.com/player/6262/Kamaldeen_Mohamed_Fuard.html,2026-04-25T11:51:15+00:00
Defender,1974.0,,6,0,,https://national-football-teams.com/player/6264/Dudley_Lincoln_Steinwall.html,2026-04-25T11:51:15+00:00
Goalkeeper,1981.0,,6,0,,https://national-football-teams.com/player/6266/Sandun_Devinda_Sooriyarachige.html,2026-04-25T11:51:15+00:00
Striker,1978.0,,5,10,"('Maldives', 'I')",https://national-football-teams.com/player/6270/Channa_Ediri_Bandanage.html,2026-04-25T11:51:15+00:00
Midfielder,1977.0,,6,0,,https://national-football-teams.com/player/6272/Imran_Mohamed.html,2026-04-25T11:51:15+00:00
Midfielder,1981.0,,6,0,,https://national-football-teams.com/player/6273/Chathura_Madurangha.html,2026-04-25T11:51:15+00:00
Midfielder,1983.0,,6,0,,https://national-football-teams.com/player/6275/Mohamed_Asmeer.html,2026-04-25T11:51:15+00:00
Defender,1978.0,,6,0,,https://national-football-teams.com/player/6278/Samantha_Prabath_Mudiyanselage.html,2026-04-25T11:51:15+00:00
Defender,1976.0,,6,0,,https://national-football-teams.com/player/6279/Mohamed_Hassan_Hamza.html,2026-04-25T11:51:16+00:00
Striker,1979.0,,6,0,,https://national-football-teams.com/player/6258/Neil_Krishantha_Abeysekera.html,2026-04-25T11:51:16+00:00
Centre Midfielder,1979.0,,6,0,,https://national-football-teams.com/player/6271/Rawme_Mohideen.html,2026-04-25T11:51:18+00:00
Striker,1981.0,,6,0,,https://national-football-teams.com/player/6256/Mohammed_Nazar_Hameed.html,2026-04-25T11:51:18+00:00
Midfielder,1984.0,,6,0,,https://national-football-teams.com/player/14393/Wahidullah_Nazari.html,2026-04-25T11:51:18+00:00
Striker,1976.0,,6,0,,https://national-football-teams.com/player/4996/Shahid_Saleem.html,2026-04-25T11:51:18+00:00
Striker,1978.0,,6,0,,https://national-football-teams.com/player/4999/Qadeer_Ahmed.html,2026-04-25T11:51:18+00:00
Midfielder,1973.0,1.70m,6,0,,https://national-football-teams.com/player/5003/Haroon_Yousaf.html,2026-04-25T11:51:18+00:00
Defender,,,6,0,,https://national-football-teams.com/player/5004/Muhammad_Sameen.html,2026-04-25T11:51:18+00:00
Centre Back,1976.0,1.91m,6,0,,https://national-football-teams.com/player/5007/Tanveer_Ahmed.html,2026-04-25T11:51:18+00:00
Goalkeeper,1981.0,1.78m,6,0,,https://national-football-teams.com/player/5009/Jaffar_Khan.html,2026-04-25T11:51:18+00:00
Defender,1983.0,1.72m,6,0,,https://national-football-teams.com/player/5010/Ashfaq_Ahmed.html,2026-04-25T11:51:18+00:00
Midfielder,1975.0,1.76m,6,0,,https://national-football-teams.com/player/5011/Sarfraz_Rasool.html,2026-04-25T11:51:20+00:00
Midfielder,1976.0,,6,0,,https://national-football-teams.com/player/5012/Sajjad_Hussain.html,2026-04-25T11:51:20+00:00
Midfielder,1975.0,,6,0,,https://national-football-teams.com/player/5013/Muhammad_Ayaz.html,2026-04-25T11:51:20+00:00
Defender,1981.0,1.78m,6,0,,https://national-football-teams.com/player/5018/Mehmood_Khan.html,2026-04-25T11:51:20+00:00
Defender,1974.0,,6,0,,https://national-football-teams.com/player/5006/Sajjad_Haider.html,2026-04-25T11:51:20+00:00
Striker,1974.0,,6,0,,https://national-football-teams.com/player/4998/Fareed_Majeed.html,2026-04-25T11:51:20+00:00
Striker,1974.0,1.77m,2,12,"('Ukraine', 'I')",https://national-football-teams.com/player/6834/Muslim_Agayew.html,2026-04-25T11:51:20+00:00
Centre Forward,1980.0,1.81m,2,97,"('Russia', 'I')",https://national-football-teams.com/player/6835/Wladimir_Bayramow.html,2026-04-25T11:51:20+00:00
Defensive Midfielder,1982.0,1.80m,2,11,"('Ukraine', 'I')",https://national-football-teams.com/player/6837/Nazar_Bayramow.html,2026-04-25T11:51:20+00:00
Defender,1981.0,1.82m,4,39,"('Uzbekistan', 'I')",https://national-football-teams.com/player/6847/Alik_Haydarow.html,2026-04-25T11:51:20+00:00
Goalkeeper,1970.0,1.86m,5,135,"('Kazakhstan', 'I')",https://national-football-teams.com/player/6848/Yevgeniy_Naboychenko.html,2026-04-25T11:51:22+00:00
Defender,1970.0,1.70m,5,214,"('Kazakhstan', 'I')",https://national-football-teams.com/player/6852/Yuriy_Bordolimov.html,2026-04-25T11:51:22+00:00
Midfielder,1968.0,1.70m,5,36,"('Kazakhstan', 'I')",https://national-football-teams.com/player/6854/Kamil_Mingazow.html,2026-04-25T11:51:22+00:00
Midfielder,1973.0,1.75m,5,27,"('Kazakhstan', 'I')",https://national-football-teams.com/player/6856/Gurbangeldi_Durdiyew.html,2026-04-25T11:51:22+00:00
Defender,1979.0,1.83m,4,50,"('Uzbekistan', 'I')",https://national-football-teams.com/player/6858/Omar_Berdiyew.html,2026-04-25T11:51:22+00:00
Midfielder,1977.0,1.77m,5,81,"('Kazakhstan', 'I')",https://national-football-teams.com/player/6859/Begencmuhammet_Kulyyew.html,2026-04-25T11:51:22+00:00
Midfielder,1981.0,1.74m,2,36,"('Ukraine', 'I')",https://national-football-teams.com/player/6860/Guwancmuhammet_Oewekow.html,2026-04-25T11:51:22+00:00
Striker,1973.0,,5,210,"('Kazakhstan', 'I')",https://national-football-teams.com/player/6833/Rejepmyrat_Agabayew.html,2026-04-25T11:51:22+00:00
Striker,1977.0,1.68m,5,158,"('Kazakhstan', 'I')",https://national-football-teams.com/player/6861/Didargylyc_Urazow.html,2026-04-25T11:51:23+00:00
Midfielder,1978.0,1.83m,4,49,"('Uzbekistan', 'I')",https://national-football-teams.com/player/6864/Rustam_Saparow.html,2026-04-25T11:51:23+00:00
Midfielder,1982.0,,6,0,,https://national-football-teams.com/player/16/Ahmad_Khesraw.html,2026-04-25T11:51:24+00:00
Striker,1979.0,,6,0,,https://national-football-teams.com/player/25/Mohammad_Zaki.html,2026-04-25T11:51:24+00:00
Centre Back,1986.0,,6,0,,https://national-football-teams.com/player/26/Abdul_Maroof_Gullestani.html,2026-04-25T11:51:24+00:00
Midfielder,1984.0,,6,0,,https://national-football-teams.com/player/27/Raza_Mahmoudi.html,2026-04-25T11:51:24+00:00
Midfielder,1982.0,,6,0,,https://national-football-teams.com/player/28/Eris_Muhandes.html,2026-04-25T11:51:24+00:00
Goalkeeper,1982.0,,6,0,,https://national-football-teams.com/player/10/Mohammad_Nader_Aimi.html,2026-04-25T11:51:24+00:00
Defender,1988.0,,6,0,,https://national-football-teams.com/player/20/Ali_Ahmadi.html,2026-04-25T11:51:24+00:00
Striker,1977.0,,6,0,,https://national-football-teams.com/player/21/Ali_Jan_Faizi.html,2026-04-25T11:51:25+00:00
Midfielder,1980.0,,6,0,,https://national-football-teams.com/player/18/Mohammad_Fazel_Bratyan.html,2026-04-25T11:51:25+00:00
Defender,1983.0,,6,0,,https://national-football-teams.com/player/17/Ali_Omari.html,2026-04-25T11:51:25+00:00
Goalkeeper,1974.0,1.83m,4,67,"('Uzbekistan', 'I')",https://national-football-teams.com/player/6851/Bayramnyyaz_Berdiyew.html,2026-04-25T11:51:26+00:00
Midfielder,1977.0,1.73m,6,27,"('Russia', 'III')",https://national-football-teams.com/player/6853/Artyom_Nazarow.html,2026-04-25T11:51:26+00:00
Striker,1980.0,1.78m,4,72,"('Uzbekistan', 'I')",https://national-football-teams.com/player/6857/Arif_Mirzoyew.html,2026-04-25T11:51:26+00:00
Centre Midfielder,1982.0,1.76m,4,13,"('Uzbekistan', 'I')",https://national-football-teams.com/player/6855/Mekan_Nasyrow.html,2026-04-25T11:51:26+00:00
Defender,1979.0,1.83m,5,14,"('Kazakhstan', 'I')",https://national-football-teams.com/player/6843/Bayramdurdy_Meredow.html,2026-04-25T11:51:27+00:00
Defender,1980.0,,4,96,"('Uzbekistan', 'I')",https://national-football-teams.com/player/6863/Didar_Hajyyew.html,2026-04-25T11:51:27+00:00
Right Back,1984.0,1.79m,6,0,,https://national-football-teams.com/player/2815/Naveed_Akram.html,2026-04-25T11:51:27+00:00
Striker,1983.0,1.75m,6,0,,https://national-football-teams.com/player/5001/Muhammad_Essa.html,2026-04-25T11:51:27+00:00
Striker,1983.0,1.68m,5,283,"('Pakistan', 'I')",https://national-football-teams.com/player/5020/Arif_Mehmood.html,2026-04-25T11:51:27+00:00
Midfielder,1985.0,1.68m,6,0,,https://national-football-teams.com/player/5024/Zahid_Hameed.html,2026-04-25T11:51:27+00:00
Midfielder,1985.0,1.65m,6,0,,https://national-football-teams.com/player/12925/Imran_Niazi.html,2026-04-25T11:51:29+00:00
